incorrect,correct
0 ළමය යන්නෙහිවා,0 ළමයි යන්නෙහිවා
0 ළමයි යනනේය,0 ළමයි යන්නේය
1 ළමයි න්නෝය,1 ළමයි යන්නෝය
0 ළමිය යමි,0 ළමයි යමි
0 ළමයි මයිවා,0 ළමයි යමිවා
0 ළමයි යුම,0 ළමයි යමු
0 ළමයි යමුවා,0 ළමයි යමුවා
0 මයි යයි,0 ළමයි යයි
0 ළමයි යව,0 ළමයි යව
1 ළමිය යවති,1 ළමයි යවති
0 ළමයි යන්නීය,0 ළමයි යවන්නීය
0 ළමයි යවනන්ෙමි,0 ළමයි යවන්නෙමි
0 ළයමි යවන්නෙමු,0 ළමයි යවන්නෙමු
0 මළයි යවන්නෙහි,0 ළමයි යවන්නෙහි
0 ළමයි යවන්නෙහු,0 ළමයි යවන්නෙහු
0 ළමයි යවන්නය,0 ළමයි යවන්නේය
1 ළමයි යවන්නෝය,1 ළමයි යවන්නෝය
0 ළමයි යවමි,0 ළමයි යවමි
0 ළමයි යවමු,0 ළමයි යවමු
0 ළමයි යවයි,0 ළමයි යවයි
0 ළමයි යවහි,0 ළමයි යවහි
0 ළමයි යවහු,0 ළමයි යවහු
0 ළමයි වයු,0 ළමයි යවු
0 ළමයි යහි,0 ළමයි යහි
0 ළයි යහිවා,0 ළමයි යහිවා
0 ළමයි හයු,0 ළමයි යහු
0 ළමයි යුවා,0 ළමයි යහුවා
0 ළයි යනලදී,0 ළමයි යනලදී
0 ළමයි ගියෙමි,0 ළමයි ගියෙමි
0 ළමයි ගියෙමු,0 ළමයි ගියෙමු
0 ළමයි ගියහෙි,0 ළමයි ගියෙහි
0 ළමයි ගියහු,0 ළමයි ගියෙහු
0 ළමයි ගිායය,0 ළමයි ගියාය
0 ළමයි ියේය,0 ළමයි ගියේය
1 මළයි ගියෝය,1 ළමයි ගියෝය
0 ළමයි ැවේ,0 ළමයි යැවේ
0 මයි යැවෙමි,0 ළමයි යැවෙමි
0 ළමි යැවෙමු,0 ළමයි යැවෙමු
0 ළමයි යැවහි,0 ළමයි යැවෙහි
0 ළමයි යැවෙහු,0 ළමයි යැවෙහු
0 ළමයි යැවෙි,0 ළමයි යැවෙයි
1 මළයි යැවෙති,1 ළමයි යැවෙති
0 ළමය යැවවෙයි,0 ළමයි යැවවෙයි
1 ළමයි යැවෙවති,1 ළමයි යැවවෙති
0 ළමයි යවැවේ,0 ළමයි යැවවේ
0 වාහනය යති,0 වාහනය යති
1 වාහනය යත්වා,1 වාහනය යත්වා
0 වාහනය යනවා,0 වාහනය යනවා
0 වාහනය යනාවලා,0 වාහනය යනවාලා
0 වාහනය යුන,0 වාහනය යනු
0 වහානය යන්න,0 වාහනය යන්න
1 වාහනය නය්නීය,1 වාහනය යන්නීය
0 වාහනය යනන්ෙමි,0 වාහනය යන්නෙමි
0 වාහන යන්නෙමිවා,0 වාහනය යන්නෙමිවා
0 වාහනය යන්නෙම,0 වාහනය යන්නෙමු
0 වාහනය යන්නෙමුවා,0 වාහනය යන්නෙමුවා
0 වහානය යන්නෙහි,0 වාහනය යන්නෙහි
0 වාහනය ය්නෙහිවා,0 වාහනය යන්නෙහිවා
1 වාහනය න්නේය,1 වාහනය යන්නේය
0 වාහනය යන්ෝය,0 වාහනය යන්නෝය
0 වානහය යමි,0 වාහනය යමි
0 වාහනය මයිවා,0 වාහනය යමිවා
0 වාහනය යමු,0 වාහනය යමු
0 වාහනය යමුාව,0 වාහනය යමුවා
1 වාහය යයි,1 වාහනය යයි
0 වාහනය යව,0 වාහනය යව
0 වානහය යවති,0 වාහනය යවති
1 වාහනය වන්නීය,1 වාහනය යවන්නීය
0 ාහනය යවන්නෙමි,0 වාහනය යවන්නෙමි
0 වාහනය යවන්නෙමු,0 වාහනය යවන්නෙමු
0 වාහනය යවන්නෙහි,0 වාහනය යවන්නෙහි
0 වාහයන යවන්නෙහු,0 වාහනය යවන්නෙහු
1 වාහනය යවන්නේය,1 වාහනය යවන්නේය
0 වාහනය යවන්නය,0 වාහනය යවන්නෝය
0 වාහනය යවමි,0 වාහනය යවමි
0 ාවහනය යවමු,0 වාහනය යවමු
1 වාහනය යයවි,1 වාහනය යවයි
0 ාවහනය යවහි,0 වාහනය යවහි
0 වාහනය යවහු,0 වාහනය යවහු
0 වාහනය වු,0 වාහනය යවු
0 වාහනය යහි,0 වාහනය යහි
0 වාහනය යහවිා,0 වාහනය යහිවා
0 වාහනය යහු,0 වාහනය යහු
0 වාහනය යහුවා,0 වාහනය යහුවා
0 වාහනය යනදී,0 වාහනය යනලදී
0 වාහනය ගියෙම,0 වාහනය ගියෙමි
0 වාහනය ගියෙමු,0 වාහනය ගියෙමු
0 වාහනය ගියෙහි,0 වාහනය ගියෙහි
0 වාහනය ගියහෙු,0 වාහනය ගියෙහු
1 වාහනය ගියය,1 වාහනය ගියාය
1 වාහනය ගියයේ,1 වාහනය ගියේය
0 වානහය ගියෝය,0 වාහනය ගියෝය
1 වාහනය යැේව,1 වාහනය යැවේ
0 ාවහනය යැවෙමි,0 වාහනය යැවෙමි
0 ාහනය යැවෙමු,0 වාහනය යැවෙමු
0 වාහනය යැවහි,0 වාහනය යැවෙහි
0 වාහනය යැවෙහ,0 වාහනය යැවෙහු
1 වාහන යැවෙයි,1 වාහනය යැවෙයි
0 වාහන යැවෙති,0 වාහනය යැවෙති
1 වාහනය යැවවෙයි,1 වාහනය යැවවෙයි
0 වාහනය යැවවෙිත,0 වාහනය යැවවෙති
1 වාහනය යැවවේ,1 වාහනය යැවවේ
0 වහන යති,0 වාහන යති
1 වාහ යත්වා,1 වාහන යත්වා
0 ාහන යනවා,0 වාහන යනවා
0 වාහන යනවාලා,0 වාහන යනවාලා
0 වානහ යනු,0 වාහන යනු
0 වානහ යන්න,0 වාහන යන්න
1 වානහ යන්නීය,1 වාහන යන්නීය
0 වාහන යන්නෙමි,0 වාහන යන්නෙමි
0 වාන යන්නෙමිවා,0 වාහන යන්නෙමිවා
0 වාහන යන්නෙු,0 වාහන යන්නෙමු
0 වාහන යන්නෙමුව,0 වාහන යන්නෙමුවා
0 වාහන යන්නෙහි,0 වාහන යන්නෙහි
0 වාහන යන්නෙහිවා,0 වාහන යන්නෙහිවා
1 වාහන යන්නේය,1 වාහන යන්නේය
0 වාහන යන්නෝය,0 වාහන යන්නෝය
0 වාහන යම,0 වාහන යමි
0 වාහන යිමවා,0 වාහන යමිවා
0 වාහන යමු,0 වාහන යමු
0 වාහන යමුාව,0 වාහන යමුවා
1 වාහන යි,1 වාහන යයි
0 වාහන ව,0 වාහන යව
0 වාහ යවති,0 වාහන යවති
1 වාහ යවන්නීය,1 වාහන යවන්නීය
0 වාහ යවන්නෙමි,0 වාහන යවන්නෙමි
0 වාහන යවන්නෙමු,0 වාහන යවන්නෙමු
0 වහාන යවන්නෙහි,0 වාහන යවන්නෙහි
0 වාහන යන්නෙහු,0 වාහන යවන්නෙහු
1 වාහන යවන්නේය,1 වාහන යවන්නේය
0 වහන යවන්නෝය,0 වාහන යවන්නෝය
0 වාහන යවමි,0 වාහන යවමි
0 ාහන යවමු,0 වාහන යවමු
1 වාහන යවයි,1 වාහන යවයි
0 වාහන යවහි,0 වාහන යවහි
0 වහාන යවහු,0 වාහන යවහු
0 වාහන වු,0 වාහන යවු
0 වාහන යහි,0 වාහන යහි
0 වාහන යහිා,0 වාහන යහිවා
0 වාහන හයු,0 වාහන යහු
0 ාවහන යහුවා,0 වාහන යහුවා
0 වාහන යනලදී,0 වාහන යනලදී
0 ාවහන ගියෙමි,0 වාහන ගියෙමි
0 වාහන ගියමු,0 වාහන ගියෙමු
0 වාහන ගියෙහි,0 වාහන ගියෙහි
0 වාහන ගියෙහ,0 වාහන ගියෙහු
1 වාහන ගියයා,1 වාහන ගියාය
1 වාහන ගියයේ,1 වාහන ගියේය
0 වාහන ගියෝ,0 වාහන ගියෝය
1 වාහන යැවේ,1 වාහන යැවේ
0 ාහන යැවෙමි,0 වාහන යැවෙමි
0 ාවහන යැවෙමු,0 වාහන යැවෙමු
0 වාහන යැවෙහි,0 වාහන යැවෙහි
0 වාහන යැෙහු,0 වාහන යැවෙහු
1 වාහන යැවෙයි,1 වාහන යැවෙයි
0 වාහන යැවතෙි,0 වාහන යැවෙති
1 වාහන යවැවෙයි,1 වාහන යැවවෙයි
0 වාහන යැවෙති,0 වාහන යැවවෙති
1 ාවහන යැවවේ,1 වාහන යැවවේ
0 මම ගෙද යති,0 මම ගෙදර යති
0 මම ගෙරද යත්වා,0 මම ගෙදර යත්වා
0 මම ෙගදර යනවා,0 මම ගෙදර යනවා
0 මම ගදෙර යනවාලා,0 මම ගෙදර යනවාලා
0 මම ගෙදර යු,0 මම ගෙදර යනු
0 මම ගෙදර යන්න,0 මම ගෙදර යන්න
0 මම ගෙද යන්නීය,0 මම ගෙදර යන්නීය
1 මම ගෙදර යන්නෙම,1 මම ගෙදර යන්නෙමි
1 මම ෙගදර යන්නෙමිවා,1 මම ගෙදර යන්නෙමිවා
0 මම ගෙරද යන්නෙමු,0 මම ගෙදර යන්නෙමු
0 ම ගෙදර යන්නෙමුවා,0 මම ගෙදර යන්නෙමුවා
0 මම ගෙදර යන්නෙහි,0 මම ගෙදර යන්නෙහි
0 මම ගෙදර නය්නෙහිවා,0 මම ගෙදර යන්නෙහිවා
0 මම ගෙදර ය්නනේය,0 මම ගෙදර යන්නේය
0 ම ගෙදර යන්නෝය,0 මම ගෙදර යන්නෝය
1 මම ගෙදර යමි,1 මම ගෙදර යමි
1 මම ගෙදර මිවා,1 මම ගෙදර යමිවා
0 මම ගෙදර යු,0 මම ගෙදර යමු
0 මම ගෙදර යමුවා,0 මම ගෙදර යමුවා
0 මම ගෙදර යිය,0 මම ගෙදර යයි
0 මම ගෙදර යව,0 මම ගෙදර යව
0 මම ගෙදර වති,0 මම ගෙදර යවති
0 මම ගදර යවන්නීය,0 මම ගෙදර යවන්නීය
1 මම ගෙදර යනව්නෙමි,1 මම ගෙදර යවන්නෙමි
0 මම ගෙදර යවන්නමෙු,0 මම ගෙදර යවන්නෙමු
0 මම ගෙදර යවන්නෙහි,0 මම ගෙදර යවන්නෙහි
0 මම ගෙර යවන්නෙහු,0 මම ගෙදර යවන්නෙහු
0 ම ගෙදර යවන්නේය,0 මම ගෙදර යවන්නේය
0 මම ගෙදර යවන්නෝය,0 මම ගෙදර යවන්නෝය
1 ම ගෙදර යවමි,1 මම ගෙදර යවමි
0 මම ගෙරද යවමු,0 මම ගෙදර යවමු
0 මම ගෙදර යවයි,0 මම ගෙදර යවයි
0 මම ගෙදර යවහ,0 මම ගෙදර යවහි
0 ම ගෙදර යවහු,0 මම ගෙදර යවහු
0 මම ගෙදර යු,0 මම ගෙදර යවු
0 ම ගෙදර යහි,0 මම ගෙදර යහි
0 මම ගෙදර යහිවා,0 මම ගෙදර යහිවා
0 මම ගදෙර යහු,0 මම ගෙදර යහු
0 මම ගෙර යහුවා,0 මම ගෙදර යහුවා
0 මම ගෙරද යනලදී,0 මම ගෙදර යනලදී
1 ම ගෙදර ගියෙමි,1 මම ගෙදර ගියෙමි
0 මම ගෙදර ගියෙමු,0 මම ගෙදර ගියෙමු
0 මම ගෙදර ගියෙහි,0 මම ගෙදර ගියෙහි
0 ම ගෙදර ගියෙහු,0 මම ගෙදර ගියෙහු
0 මම ගෙදර ගියා,0 මම ගෙදර ගියාය
0 මම ගෙරද ගියේය,0 මම ගෙදර ගියේය
0 මම ගෙරද ගියෝය,0 මම ගෙදර ගියෝය
0 මම ගෙදර යැවේ,0 මම ගෙදර යැවේ
1 මම ගෙදර යැවෙමි,1 මම ගෙදර යැවෙමි
0 මම ගෙර යැවෙමු,0 මම ගෙදර යැවෙමු
0 ම ගෙදර යැවෙහි,0 මම ගෙදර යැවෙහි
0 මම ගෙදර යැවෙහු,0 මම ගෙදර යැවෙහු
0 මම ගෙදර යැවෙයි,0 මම ගෙදර යැවෙයි
0 මම ගෙදර යැවති,0 මම ගෙදර යැවෙති
0 ම ගෙදර යැවවෙයි,0 මම ගෙදර යැවවෙයි
0 මම ගෙදර යැවවෙති,0 මම ගෙදර යැවවෙති
0 මම ෙගදර යැවවේ,0 මම ගෙදර යැවවේ
0 අපි ගෙදර ති,0 අපි ගෙදර යති
0 අපි ගෙදර යත්වා,0 අපි ගෙදර යත්වා
0 අපි ගෙදර නයවා,0 අපි ගෙදර යනවා
0 අපි ගෙදර යනාවලා,0 අපි ගෙදර යනවාලා
0 අපි ගෙදර යුන,0 අපි ගෙදර යනු
0 අිප ගෙදර යන්න,0 අපි ගෙදර යන්න
0 අපි ගෙදර යන්නය,0 අපි ගෙදර යන්නීය
0 අපි ගෙදර යන්නෙමි,0 අපි ගෙදර යන්නෙමි
0 අපි ගෙදර යන්නෙිමවා,0 අපි ගෙදර යන්නෙමිවා
1 අිප ගෙදර යන්නෙමු,1 අපි ගෙදර යන්නෙමු
